2013-05-10 03:12:32 install bash:armhf <none> 4.2+dfsg-0.1
2013-05-10 03:12:32 status half-installed bash:armhf 4.2+dfsg-0.1
2013-05-10 03:12:33 status unpacked bash:armhf 4.2+dfsg-0.1
2013-05-10 03:12:33 status unpacked bash:armhf 4.2+dfsg-0.1
2013-05-10 03:12:33 install libbz2-1.0:armhf <none> 1.0.6-4
2013-05-10 03:12:33 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-05-10 03:12:33 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-05-10 03:12:33 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-05-10 03:12:34 install coreutils:armhf <none> 8.13-3.5
2013-05-10 03:12:34 status half-installed coreutils:armhf 8.13-3.5
2013-05-10 03:12:36 status unpacked coreutils:armhf 8.13-3.5
2013-05-10 03:12:36 status unpacked coreutils:armhf 8.13-3.5
2013-05-10 03:12:36 install dash:armhf <none> 0.5.7-3
2013-05-10 03:12:36 status half-installed dash:armhf 0.5.7-3
2013-05-10 03:12:42 status unpacked dash:armhf 0.5.7-3
2013-05-10 03:12:42 status unpacked dash:armhf 0.5.7-3
2013-05-10 03:12:43 install libdb5.1:armhf <none> 5.1.29-5
2013-05-10 03:12:43 status half-installed libdb5.1:armhf 5.1.29-5
2013-05-10 03:12:45 status unpacked libdb5.1:armhf 5.1.29-5
2013-05-10 03:12:45 status unpacked libdb5.1:armhf 5.1.29-5
2013-05-10 03:12:46 upgrade debconf:all 1.5.49 1.5.49
2013-05-10 03:12:46 status half-configured debconf:all 1.5.49
2013-05-10 03:12:51 status unpacked debconf:all 1.5.49
2013-05-10 03:12:51 status half-installed debconf:all 1.5.49
2013-05-10 03:12:53 status half-installed debconf:all 1.5.49
2013-05-10 03:12:53 status unpacked debconf:all 1.5.49
2013-05-10 03:12:53 status unpacked debconf:all 1.5.49
2013-05-10 03:12:55 install debconf-i18n:all <none> 1.5.49
2013-05-10 03:12:55 status half-installed debconf-i18n:all 1.5.49
2013-05-10 03:12:56 status unpacked debconf-i18n:all 1.5.49
2013-05-10 03:12:56 status unpacked debconf-i18n:all 1.5.49
2013-05-10 03:12:58 install debianutils:armhf <none> 4.3.2
2013-05-10 03:12:58 status half-installed debianutils:armhf 4.3.2
2013-05-10 03:12:58 status unpacked debianutils:armhf 4.3.2
2013-05-10 03:12:58 status unpacked debianutils:armhf 4.3.2
2013-05-10 03:12:58 install diffutils:armhf <none> 1:3.2-6
2013-05-10 03:12:58 status half-installed diffutils:armhf 1:3.2-6
2013-05-10 03:12:58 status unpacked diffutils:armhf 1:3.2-6
2013-05-10 03:12:58 status unpacked diffutils:armhf 1:3.2-6
2013-05-10 03:12:59 upgrade dpkg:armhf 1.16.10 1.16.10
2013-05-10 03:12:59 status half-configured dpkg:armhf 1.16.10
2013-05-10 03:12:59 status unpacked dpkg:armhf 1.16.10
2013-05-10 03:12:59 status half-installed dpkg:armhf 1.16.10
2013-05-10 03:13:00 status half-installed dpkg:armhf 1.16.10
2013-05-10 03:13:00 status unpacked dpkg:armhf 1.16.10
2013-05-10 03:13:00 status unpacked dpkg:armhf 1.16.10
2013-05-10 03:13:00 install e2fslibs:armhf <none> 1.42.5-1.1
2013-05-10 03:13:00 status half-installed e2fslibs:armhf 1.42.5-1.1
2013-05-10 03:13:00 status unpacked e2fslibs:armhf 1.42.5-1.1
2013-05-10 03:13:00 status unpacked e2fslibs:armhf 1.42.5-1.1
2013-05-10 03:13:00 install e2fsprogs:armhf <none> 1.42.5-1.1
2013-05-10 03:13:00 status half-installed e2fsprogs:armhf 1.42.5-1.1
2013-05-10 03:13:01 status unpacked e2fsprogs:armhf 1.42.5-1.1
2013-05-10 03:13:01 status unpacked e2fsprogs:armhf 1.42.5-1.1
2013-05-10 03:13:01 install libcomerr2:armhf <none> 1.42.5-1.1
2013-05-10 03:13:01 status half-installed libcomerr2:armhf 1.42.5-1.1
2013-05-10 03:13:01 status unpacked libcomerr2:armhf 1.42.5-1.1
